[Tue Dec 13 18:28:38.160990 2022] [core:alert] [pid 44011:tid 139981842544192] [client 127.0.0.1:35176] /var/www/mvc/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Dec 13 18:28:47.183180 2022] [core:alert] [pid 44010:tid 139981808973376] [client 127.0.0.1:59558] /var/www/mvc/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Dec 13 18:32:07.982590 2022] [core:alert] [pid 44011:tid 139981825758784] [client 127.0.0.1:43582] /var/www/mvc/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Dec 13 18:32:08.792174 2022] [core:alert] [pid 44010:tid 139981800580672] [client 127.0.0.1:43592] /var/www/mvc/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Dec 13 18:32:08.930897 2022] [core:alert] [pid 44011:tid 139981800580672] [client 127.0.0.1:43594] /var/www/mvc/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Dec 13 18:32:09.102068 2022] [core:alert] [pid 44011:tid 139981372782144] [client 127.0.0.1:43598] /var/www/mvc/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Dec 13 18:32:09.293097 2022] [core:alert] [pid 44011:tid 139981347604032] [client 127.0.0.1:43604] /var/www/mvc/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Dec 13 18:32:09.441194 2022] [core:alert] [pid 44010:tid 139981439891008] [client 127.0.0.1:43608] /var/www/mvc/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Dec 13 18:32:09.618881 2022] [core:alert] [pid 44010:tid 139981414712896] [client 127.0.0.1:43620] /var/www/mvc/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Dec 13 18:32:15.628954 2022] [core:alert] [pid 44011:tid 139981330818624] [client 127.0.0.1:43636] /var/www/mvc/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Dec 13 18:32:21.394718 2022] [core:alert] [pid 44011:tid 139981339211328] [client 127.0.0.1:41516] /var/www/mvc/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Dec 13 18:34:28.048246 2022] [core:alert] [pid 44512:tid 140276799706688] [client 127.0.0.1:56344] /var/www/mvc/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Dec 13 18:34:28.975988 2022] [core:alert] [pid 44512:tid 140276702107200] [client 127.0.0.1:56348] /var/www/mvc/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
